1,"Thần tốc, thần tốc hơn nữa, designer ta vẽ nên tương lai rực rỡ trước mọi deadline!"
2,"Như lời Đại tướng, táo bạo, táo bạo hơn nữa, sáng tạo ta chinh phục mọi thử thách!"
3,"Quyết chiến, quyết thắng như chiến dịch Hồ Chí Minh, designer ta hoàn thành mọi bản vẽ!"
4,"Hãy như cỗ xe tăng, húc bay mọi gian khó. Deadline ta chẳng lo, quyết chí ắt hoàn thành!"
5,"Tiến lên, toàn thắng ắt về ta, designer ta viết tiếp khúc ca Giải phóng!"
6,"Như ngọn cờ 30/4, sáng tạo của designer ta rực rỡ trên mọi mặt trận!"
7,"Với ý chí thép của quân Giải phóng, designer ta biến ý tưởng thành chiến thắng!"
8,"Thần tốc như Đại tướng, designer ta vung bút, thống nhất mọi bản thiết kế!"
9,"Như lời Đại tướng kêu gọi, đoàn kết, đoàn kết hơn nữa, designer ta cùng vượt mọi deadline!"
10,"Tiếng gọi non sông vang vọng, designer ta sáng tạo để chào mừng Giải phóng miền Nam!"
11,"Deadline trước mặt? Cứ coi như cổng Dinh Độc Lập — húc một phát là xong!"
12,"Làm design mà run tay? Hãy nhớ: xe tăng 390 cũng không lùi bước đâu đồng chí!"
13,"Chúc bạn thần tốc như quân giải phóng, render chưa kịp kêu đã xong!"
14,"Dự án cứng đầu? Dùng tinh thần 30/4: tấn công liên tục, bất ngờ, bất chấp ngáp!"
15,"Chốt job giống như giải phóng Sài Gòn: cứ mạnh dạn lao thẳng vào Dinh!"
16,"Quá tải task? Tạm biệt lo âu. Hãy như trực thăng: bay cao, thả nhẹ từng quả 'submit'!"
17,"Làm design khó nhằn? Hãy nhớ: anh em đã húc đổ cả chế độ, vài layer thì nhằm nhò gì!"
18,"Client đổi brief phút chót? Bình tĩnh, ta từng đổi cả vận mệnh đất nước cơ mà!"
19,"Mỗi lần xuất file lỗi, hãy tự nhủ: 'Không sao, ngày xưa máy bay còn rớt mà ta vẫn thắng!'"
20,"Chúc bạn sống chất như chiến sĩ, việc tới đâu húc tới đó, miễn là... nhớ save file thường xuyên!"